One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation:Computer Programmers(SOC Code151251),,,,,,
Period:May 2022,,,,,,
,,,,,,
Area Name,Annual mean wage(2),,,,,
Alabama(0100000),       91450,,,,,
Alaska(0200000),       97440,,,,,
Arizona(0400000),       86700,,,,,
Arkansas(0500000),       83910,,,,,
California(0600000),      122660,,,,,
Colorado(0800000),      120370,,,,,
Connecticut(0900000),       93320,,,,,
Delaware(1000000),       96650,,,,,
District of Columbia(1100000),      111350,,,,,
Florida(1200000),       93320,,,,,
Georgia(1300000),       94330,,,,,
Hawaii(1500000),           -,,,,,
Idaho(1600000),       82660,,,,,
Illinois(1700000),       84670,,,,,
Indiana(1800000),       94180,,,,,
Iowa(1900000),       87770,,,,,
Kansas(2000000),       64350,,,,,
Kentucky(2100000),       83340,,,,,
Louisiana(2200000),           -,,,,,
Maine(2300000),       81750,,,,,
Maryland(2400000),      106800,,,,,
Massachusetts(2500000),      111270,,,,,
Michigan(2600000),       94500,,,,,
Minnesota(2700000),           -,,,,,
Mississippi(2800000),       71770,,,,,
Missouri(2900000),       76360,,,,,
Montana(3000000),       94920,,,,,
Nebraska(3100000),       92860,,,,,
Nevada(3200000),       97550,,,,,
New Hampshire(3300000),       79060,,,,,
New Jersey(3400000),      112070,,,,,
New Mexico(3500000),       74420,,,,,
New York(3600000),      108940,,,,,
North Carolina(3700000),      104890,,,,,
North Dakota(3800000),       89220,,,,,
Ohio(3900000),       85630,,,,,
Oklahoma(4000000),       88590,,,,,
Oregon(4100000),      102490,,,,,
Pennsylvania(4200000),       97590,,,,,
Puerto Rico(7200000),       52100,,,,,
Rhode Island(4400000),       89170,,,,,
South Carolina(4500000),       98810,,,,,
South Dakota(4600000),       65450,,,,,
Tennessee(4700000),           -,,,,,
Texas(4800000),       93570,,,,,
Utah(4900000),       99840,,,,,
Vermont(5000000),       81600,,,,,
Virginia(5100000),      119410,,,,,
Washington(5300000),      126320,,,,,
West Virginia(5400000),       66400,,,,,
Wisconsin(5500000),      101510,,,,,
Wyoming(5600000),       80850,,,,,
,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8)Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
"Date extracted on :Mar 14, 2024",,,,,,
