One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation:Database Architects(SOC Code151243),,,,,,
Period:May 2022,,,,,,
,,,,,,
Area Name,Annual mean wage(2),,,,,
Alabama(0100000),      119590,,,,,
Alaska(0200000),      108900,,,,,
Arizona(0400000),      122560,,,,,
Arkansas(0500000),       97210,,,,,
California(0600000),      152960,,,,,
Colorado(0800000),      129930,,,,,
Connecticut(0900000),      127060,,,,,
Delaware(1000000),      142470,,,,,
District of Columbia(1100000),      141820,,,,,
Florida(1200000),      132370,,,,,
Georgia(1300000),      138450,,,,,
Hawaii(1500000),      108910,,,,,
Idaho(1600000),      126450,,,,,
Illinois(1700000),      132120,,,,,
Indiana(1800000),       91780,,,,,
Iowa(1900000),      124760,,,,,
Kentucky(2100000),       99400,,,,,
Maine(2300000),      130480,,,,,
Maryland(2400000),      152230,,,,,
Massachusetts(2500000),      144770,,,,,
Michigan(2600000),       90420,,,,,
Minnesota(2700000),      120830,,,,,
Mississippi(2800000),       96260,,,,,
Missouri(2900000),      107150,,,,,
Montana(3000000),      105250,,,,,
Nebraska(3100000),      116500,,,,,
Nevada(3200000),       87110,,,,,
New Hampshire(3300000),      125420,,,,,
New Jersey(3400000),      145870,,,,,
New Mexico(3500000),      110740,,,,,
New York(3600000),      137390,,,,,
North Carolina(3700000),      124060,,,,,
North Dakota(3800000),       97790,,,,,
Ohio(3900000),      115860,,,,,
Oklahoma(4000000),      120310,,,,,
Oregon(4100000),      125200,,,,,
Pennsylvania(4200000),      120180,,,,,
Puerto Rico(7200000),       70010,,,,,
Rhode Island(4400000),      126390,,,,,
South Carolina(4500000),      116040,,,,,
Tennessee(4700000),      114130,,,,,
Texas(4800000),      146970,,,,,
Utah(4900000),      145760,,,,,
Vermont(5000000),      121650,,,,,
Virginia(5100000),           -,,,,,
Washington(5300000),      159650,,,,,
West Virginia(5400000),      126100,,,,,
Wisconsin(5500000),      121770,,,,,
,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8)Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
"Date extracted on :Mar 14, 2024",,,,,,
