One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation:Database Administrators(SOC Code151242),,,,,,
Period:May 2022,,,,,,
,,,,,,
Area Name,Annual mean wage(2),,,,,
Alabama(0100000),       87090,,,,,
Alaska(0200000),       92040,,,,,
Arizona(0400000),       99370,,,,,
Arkansas(0500000),       77560,,,,,
California(0600000),      114240,,,,,
Colorado(0800000),      111210,,,,,
Connecticut(0900000),      114910,,,,,
Delaware(1000000),      104620,,,,,
District of Columbia(1100000),      111530,,,,,
Florida(1200000),      100260,,,,,
Georgia(1300000),       99220,,,,,
Hawaii(1500000),       96040,,,,,
Idaho(1600000),       76200,,,,,
Illinois(1700000),      109270,,,,,
Indiana(1800000),       81630,,,,,
Iowa(1900000),       92130,,,,,
Kansas(2000000),       99070,,,,,
Kentucky(2100000),       82420,,,,,
Louisiana(2200000),      102810,,,,,
Maine(2300000),       97330,,,,,
Maryland(2400000),      116970,,,,,
Massachusetts(2500000),      112300,,,,,
Michigan(2600000),       86470,,,,,
Minnesota(2700000),       97640,,,,,
Mississippi(2800000),       75980,,,,,
Missouri(2900000),       90560,,,,,
Montana(3000000),       77750,,,,,
Nebraska(3100000),       90020,,,,,
Nevada(3200000),       90850,,,,,
New Hampshire(3300000),      111680,,,,,
New Jersey(3400000),      122410,,,,,
New Mexico(3500000),       86150,,,,,
New York(3600000),      109150,,,,,
North Carolina(3700000),      102300,,,,,
North Dakota(3800000),       76720,,,,,
Ohio(3900000),       91200,,,,,
Oklahoma(4000000),       79190,,,,,
Oregon(4100000),       99770,,,,,
Pennsylvania(4200000),       89590,,,,,
Puerto Rico(7200000),       57410,,,,,
Rhode Island(4400000),      115340,,,,,
South Carolina(4500000),       92710,,,,,
South Dakota(4600000),       80780,,,,,
Tennessee(4700000),      105920,,,,,
Texas(4800000),      103910,,,,,
Utah(4900000),       94610,,,,,
Virginia(5100000),      103300,,,,,
Washington(5300000),      109590,,,,,
West Virginia(5400000),       70180,,,,,
Wisconsin(5500000),       93590,,,,,
Wyoming(5600000),       73420,,,,,
,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
"Date extracted on :Mar 14, 2024",,,,,,
