One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation:Data Scientists(SOC Code152051),,,,,,
Period:May 2022,,,,,,
,,,,,,
Area Name,Annual mean wage(2),,,,,
Alabama(0100000),       91570,,,,,
Alaska(0200000),      103810,,,,,
Arizona(0400000),      104220,,,,,
California(0600000),      147390,,,,,
Colorado(0800000),      116560,,,,,
Connecticut(0900000),      110220,,,,,
Delaware(1000000),      133320,,,,,
District of Columbia(1100000),      110190,,,,,
Florida(1200000),      100780,,,,,
Georgia(1300000),      106400,,,,,
Hawaii(1500000),      103470,,,,,
Idaho(1600000),       95520,,,,,
Illinois(1700000),      109870,,,,,
Indiana(1800000),       78890,,,,,
Iowa(1900000),       94190,,,,,
Kansas(2000000),       94920,,,,,
Kentucky(2100000),       86470,,,,,
Louisiana(2200000),       71710,,,,,
Maine(2300000),      101080,,,,,
Maryland(2400000),      118960,,,,,
Massachusetts(2500000),      120340,,,,,
Michigan(2600000),       92820,,,,,
Minnesota(2700000),      111740,,,,,
Mississippi(2800000),       65940,,,,,
Missouri(2900000),       81860,,,,,
Montana(3000000),       74720,,,,,
Nebraska(3100000),       89340,,,,,
Nevada(3200000),       96870,,,,,
New Hampshire(3300000),       87300,,,,,
New Jersey(3400000),      129980,,,,,
New Mexico(3500000),       87090,,,,,
New York(3600000),      128200,,,,,
North Carolina(3700000),      119960,,,,,
North Dakota(3800000),       93340,,,,,
Ohio(3900000),       92080,,,,,
Oklahoma(4000000),       87810,,,,,
Oregon(4100000),      111090,,,,,
Pennsylvania(4200000),       95940,,,,,
Puerto Rico(7200000),       64910,,,,,
Rhode Island(4400000),      117570,,,,,
South Carolina(4500000),      100550,,,,,
South Dakota(4600000),      108430,,,,,
Tennessee(4700000),      112070,,,,,
Texas(4800000),      102230,,,,,
Utah(4900000),       88660,,,,,
Vermont(5000000),           -,,,,,
Virginia(5100000),      133990,,,,,
Washington(5300000),      140780,,,,,
West Virginia(5400000),       72550,,,,,
Wisconsin(5500000),       90760,,,,,
Wyoming(5600000),      128860,,,,,
,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8)Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
"Date extracted on :Mar 14, 2024",,,,,,
