One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation:Management Analysts(SOC Code131111),,,,,,
Period:May 2022,,,,,,
,,,,,,
Area Name,Annual mean wage(2),,,,,
Alabama(0100000),      100680,,,,,
Alaska(0200000),      101820,,,,,
Arizona(0400000),       92950,,,,,
Arkansas(0500000),       78380,,,,,
California(0600000),      103180,,,,,
Colorado(0800000),      104980,,,,,
Connecticut(0900000),      105650,,,,,
Delaware(1000000),       89700,,,,,
District of Columbia(1100000),      115720,,,,,
Florida(1200000),       89760,,,,,
Georgia(1300000),      108840,,,,,
Guam(6600000),       68540,,,,,
Hawaii(1500000),       89950,,,,,
Idaho(1600000),       87090,,,,,
Illinois(1700000),      116650,,,,,
Indiana(1800000),       88770,,,,,
Iowa(1900000),       89390,,,,,
Kansas(2000000),       80940,,,,,
Kentucky(2100000),       95040,,,,,
Louisiana(2200000),       96870,,,,,
Maine(2300000),           -,,,,,
Maryland(2400000),      110260,,,,,
Massachusetts(2500000),      123010,,,,,
Michigan(2600000),      102780,,,,,
Minnesota(2700000),      104710,,,,,
Mississippi(2800000),       96520,,,,,
Missouri(2900000),      102790,,,,,
Montana(3000000),       91540,,,,,
Nebraska(3100000),       83710,,,,,
Nevada(3200000),       82570,,,,,
New Hampshire(3300000),      121320,,,,,
New Jersey(3400000),      126000,,,,,
New Mexico(3500000),       81840,,,,,
New York(3600000),      120730,,,,,
North Carolina(3700000),      102310,,,,,
North Dakota(3800000),       87950,,,,,
Ohio(3900000),       94970,,,,,
Oklahoma(4000000),       87410,,,,,
Oregon(4100000),       94640,,,,,
Pennsylvania(4200000),       94630,,,,,
Puerto Rico(7200000),       59400,,,,,
Rhode Island(4400000),      109920,,,,,
South Carolina(4500000),       87780,,,,,
South Dakota(4600000),       86120,,,,,
Tennessee(4700000),       92970,,,,,
Texas(4800000),      101760,,,,,
Utah(4900000),       87340,,,,,
Vermont(5000000),           -,,,,,
Virgin Islands(7800000),       80220,,,,,
Virginia(5100000),      113020,,,,,
Washington(5300000),      109560,,,,,
West Virginia(5400000),       90030,,,,,
Wisconsin(5500000),       96980,,,,,
Wyoming(5600000),       87600,,,,,
,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8)Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
"Date extracted on :Mar 14, 2024",,,,,,
