,State,Year,POVALL_2021,PCTPOVALL_2021,POV017_2021,PCTPOV017_2021,POV517_2021,PCTPOV517_2021,MEDHHINC_2021,POV04_2021,PCTPOV04_2021,OverallFoodInsecurityRate,SeniorFoodInsecurityRate(StateofSeniorHunger),#ofFoodInsecureSeniors(StateofSeniorHunger),OlderAdultFoodInsecurityRate(StateofSeniorHunger),#ofFoodInsecureOlderAdults(StateofSeniorHunger),ChildFoodInsecurityRate,#ofFoodInsecureChildren
0,AL,2021,800848.0,16.3,250327.0,22.7,176596.0,21.6,53990.0,71220.0,25.1,0.148,0.08900000000000001,103567,0.14400000000000002,100289,0.183,204830
1,AK,2021,77736.0,10.8,23760.0,13.5,16316.0,12.7,78437.0,6633.0,14.1,0.107,0.084,12149,0.08,6184,0.128,22960
2,AZ,2021,919680.0,12.9,281696.0,17.8,197841.0,16.7,68967.0,76649.0,19.7,0.103,0.07400000000000001,129412,0.085,79721,0.14,226080
3,AR,2021,471195.0,16.0,150353.0,21.8,102718.0,20.1,52577.0,45096.0,25.5,0.155,0.076,55600,0.198,75302,0.191,134690
4,CA,2021,4742405.0,12.3,1362903.0,15.8,993484.0,15.4,84831.0,339169.0,15.8,0.105,0.07400000000000001,620899,0.10400000000000001,485709,0.135,1182720
5,CO,2021,554126.0,9.700000000000001,144163.0,11.8,99663.0,10.9,82228.0,39308.0,12.8,0.092,0.07400000000000001,102243,0.08199999999999999,55579,0.105,129900
6,CT,2021,355861.0,10.1,93263.0,12.9,66642.0,12.2,83628.0,24150.0,13.9,0.105,0.055,48430,0.08800000000000001,46336,0.115,83530
7,DE,2021,113026.0,11.5,33302.0,16.2,23013.0,15.0,71636.0,9694.0,18.6,0.099,0.06,17724,0.149,18079,0.144,30040
8,DC,2021,107307.0,16.8,31194.0,25.5,21233.0,25.5,91072.0,9444.0,24.3,0.103,0.11199999999999999,14263,0.10300000000000001,6481,0.142,17890
9,FL,2021,2830813.0,13.2,774679.0,18.4,545090.0,17.5,63054.0,212346.0,19.8,0.106,0.085,527979,0.067,190435,0.143,613180
10,GA,2021,1493837.0,14.2,508616.0,20.5,364720.0,19.6,66507.0,135538.0,22.0,0.107,0.08,171536,0.085,127441,0.133,335720
11,HI,2021,152656.0,10.9,38291.0,12.9,26809.0,12.4,85547.0,10150.0,12.9,0.119,0.037000000000000005,13482,0.079,13218,0.178,54180
